# source_value stores all unique source values that are semantically mapped to OMOP concepts.
# (distinct from static mappings where lookups are only 1:1 and constant across datasets).
# the mappings are just value --> concept(s), regardless of source and model field.
# subsequent columns are from Athena, this file is validated against the Athena at runtime
# and concept_id and the metadata columns must match what is in that Athana version.
# note that the Atehna CONCEPT file doesn't have validity, but invalid_reason and invalid start to end dates,
# this is reformatted internally and checked against each concept id.
source_value,concept_id,concept_code,concept_name,concept_class_id,standard_concept,validity,domain_id,vocabulary_id
Platelet count decreased,4053347,1250004,Decreased,Qualifier Value,Standard,Valid,Meas Value,SNOMED
Platelet count decreased,4267147,61928009,Platelet count,Procedure,Standard,Valid,Measurement,SNOMED
Serum amylase increased,4146067,35105006,Increased,Qualifier Value,Standard,Valid,Meas Value,SNOMED
Serum amylase increased,4043072,166570006,Serum amylase (pancreatic) measurement,Procedure,Standard,Valid,Measurement,SNOMED
Aspartate aminotransferase increased,4146067,35105006,Increased,Qualifier Value,Standard,Valid,Meas Value,SNOMED
Aspartate aminotransferase increased,4094595,250641004,AST serum measurement,Procedure,Standard,Valid,Measurement,SNOMED
Fever,437663,386661006,Fever,Clinical Finding,Standard,Valid,Condition,SNOMED
Pancreatitis,4192640,75694006,Pancreatitis,Disorder,Standard,Valid,Condition,SNOMED
Dyspnea,312437,267036007,Dyspnea,Clinical Finding,Standard,Valid,Condition,SNOMED
Mucositis oral,4260546,450005,Ulcerative stomatitis,Disorder,Standard,Valid,Condition,SNOMED
Tooth infection,4322737,427898007,Infection of tooth,Disorder,Standard,Valid,Condition,SNOMED
Urinary tract infection,81902,68566005,Urinary tract infectious disease,Disorder,Standard,Valid,Condition,SNOMED
"Infections and infestations - Other, specify",432250,40733004,Infectious disease,Disorder,Standard,Valid,Condition,SNOMED
Pleural effusion,254061,60046008,Pleural effusion,Disorder,Standard,Valid,Condition,SNOMED
Diarrhea,196523,62315008,Diarrhea,Clinical Finding,Standard,Valid,Condition,SNOMED
Flu like symptoms,4319159,95891005,Influenza-like illness,Clinical Finding,Standard,Valid,Condition,SNOMED
Superior vena cava syndrome,4272799,63363004,Superior vena cava syndrome,Disorder,Standard,Valid,Condition,SNOMED
Gastrointestinal disorders,4201745,53619000,Disorder of digestive system,Disorder,Standard,Valid,Condition,SNOMED
