source_tumor_type_name,frequency,harmonized_tumor_type_name,tumor_subtype,general_tumor_type,comment
"79F, METASTATIC CARCINOMA OF ANUS, HER2 AMPLIFIED",1,Anal cancer,,Anal cancer
acinic cell carsinoma,1,Acinic cell carcinoma,Acinic cell carcinoma,Salivary gland cancer
Adenoic cystic carcinoma,1,Adenoid cystic carcinoma,,Adenoid cystic carcinoma
Adrenocortical carcinoma,1,Adrenocortical carcinoma,,Adrenocortical carcinoma
ALK-POSITIVE LARGE B-CELL LYMPHOMA,1,Large B-cell lymphoma,Large B-cell lymphoma,Haematological cancer
ameloblastoma,1,Ameloblastoma,,Ameloblastoma
Ameloblastoma,1,Ameloblastoma,,Ameloblastoma
AML,1,AML,AML,Haematological cancer
anal,1,Anal cancer,,Anal cancer
anal canal squamous cell ca,1,Anal cancer,,Anal cancer
Anal cancer,1,Anal cancer,,Anal cancer
Anal carcinoma,2,Anal cancer,,Anal cancer
ANAPLASTIC ALK-POSITIVE LARGE CELL LYMPHOMA,1,Anaplastic large cell lymphoma,Anaplastic large cell lymphoma,Haematological cancer
Anaplastic large cell lymphoma,2,Anaplastic large cell lymphoma,Anaplastic large cell lymphoma,Haematological cancer
anaplastic thyroid cancer,1,Anaplastic thyroid cancer,Anaplastic thyroid cancer,Thyroid cancer
Apocrine carcinoma,1,Apocrine carcinoma,,Apocrine carcinoma
Astrocytoma,1,Astrocytoma,Astrocytoma,CNS
bile duct & gall bladder,1,Cholangiocarcinoma,,Cholangiocarcinoma
bile duct & gallbladder,5,Cholangiocarcinoma,,Cholangiocarcinoma
bile duct and gallbladder,1,Cholangiocarcinoma,,Cholangiocarcinoma
Biliary tract carcinoma,2,Cholangiocarcinoma,,Cholangiocarcinoma
Biliary tract carcinoma/galbladder carcinoma,1,Cholangiocarcinoma,,Cholangiocarcinoma
bladder & urinary tract,6,Urothelial cancer,,Urothelial cancer
Bladder / urinary tract cancer,2,Urothelial cancer,,Urothelial cancer
Bladder cancer,3,Urothelial cancer,,Urothelial cancer
Bladder/Urinary Tract Cancer,2,Urothelial cancer,,Urothelial cancer
brain ependymoma,1,Ependymoma,Ependymoma,CNS
breast,6,Breast cancer,,Breast cancer
Breast cancer,9,Breast cancer,,Breast cancer
Breast Cancer,1,Breast cancer,,Breast cancer
"breast, non-TNBC",1,Breast cancer,,Breast cancer
"breast, TNBC",1,Breast cancer,,Breast cancer
Central Nervous System/Brain,4,CNS,,CNS
cervical cancer,2,Cervical cancer,Cervical cancer,Gynaecological cancer
Cervical cancer,5,Cervical cancer,Cervical cancer,Gynaecological cancer
Cervical Cancer,2,Cervical cancer,Cervical cancer,Gynaecological cancer
cervix,1,Cervical cancer,Cervical cancer,Gynaecological cancer
Cholangio carcinoma,5,Cholangiocarcinoma,,Cholangiocarcinoma
Cholangiocarcicoma,1,Cholangiocarcinoma,,Cholangiocarcinoma
Cholangiocarcinoma,16,Cholangiocarcinoma,,Cholangiocarcinoma
chordoma,1,Chordoma,,Chordoma
CLEAR CELL ADENOCARCINOMA OF THE LEFT URETER,1,Urothelial cancer,,Urothelial cancer
Clear cell odontogenic carcinoma,1,Clear cell odontogenic carcinoma,,Clear cell odontogenic carcinoma
CLL,1,CLL,CLL,Haematological cancer
CNS tumor,1,CNS,,CNS
Colorectal Cancer,5,Colorectal cancer,Colorectal cancer,Intestinal cancer
conjuctival melanoma (eye),1,Conjunctival melanoma,Conjunctival melanoma,Ocular melanoma
CRC,21,Colorectal cancer,Colorectal cancer,Intestinal cancer
CRPC,2,Prostate cancer,,Prostate cancer
CUP,11,CUP,,CUP
Duodenal carcinoma,1,Duodenal carcinoma,Duodenal carcinoma,Intestinal cancer
Eccrine carcinoma,1,Eccrine carcinoma,,Eccrine carcinoma
endometrial,2,Endometrial cancer,Endometrial cancer,Gynaecological cancer
Endometrial caccer,1,Endometrial cancer,Endometrial cancer,Gynaecological cancer
Endometrial cancer,6,Endometrial cancer,Endometrial cancer,Gynaecological cancer
Endometrial/Uterine Cancer,2,Endometrial cancer,Endometrial cancer,Gynaecological cancer
endometroid ovary cancer,1,Ovarian cancer,Ovarian cancer,Gynaecological cancer
Erdheim Chester,1,Erdheim-Chester Disease,Erdheim-Chester Disease,Histiocytosis
Erdheim Chester / Histiocytic,1,Erdheim-Chester Disease,Erdheim-Chester Disease,Histiocytosis
"ERDHEIM CHESTER DISEASE - HISTIOCYTOSIS",1,Erdheim-Chester Disease,Erdheim-Chester Disease,Histiocytosis
"ERDHEIM CHESTER DISEASE (ORBITAL, CARDIAC AND BONE INVOLVEMENT)",1,Erdheim-Chester Disease,Erdheim-Chester Disease,Histiocytosis
"ERDHEIM CHESTER DISEASE, BRAF V600E MUTATION",1,Erdheim-Chester Disease,Erdheim-Chester Disease,Histiocytosis
esophageal,1,Esophageal cancer,Esophageal cancer,Upper GI-cancer
Esophageal,1,Esophageal cancer,Esophageal cancer,Upper GI-cancer
Esophageal cancer,2,Esophageal cancer,Esophageal cancer,Upper GI-cancer
Esophageal_Gastric cancer,1,Esophageal or gastric cancer,Esophageal or gastric cancer,Upper GI-cancer
esophagus,3,Esophageal cancer,Esophageal cancer,Upper GI-cancer
